label,period_end,return,nav
Jan 2023,2023-01-31,0.06624802490417991,106624.80249041799
Feb 2023,2023-02-28,-0.03840143011250885,102530.25758932215
Mar 2023,2023-03-31,0.18238650822979263,121230.39325893982
Apr 2023,2023-04-30,0.018751455010182827,123503.6395240016
May 2023,2023-05-31,-0.005001716180915938,122885.9093717924
Jun 2023,2023-06-30,0.038153268322063116,127574.40844505512
Jul 2023,2023-07-31,0.016923442733456806,129733.40664062963
Aug 2023,2023-08-31,-0.02898406325192915,125973.20537666939
Sep 2023,2023-09-30,-0.03081529117219295,122091.30437309286
Oct 2023,2023-10-31,0.12520569592263686,137377.83110322844
Nov 2023,2023-11-30,0.060789089756558834,145728.90440872396
Dec 2023,2023-12-31,0.06597661151478129,155343.60372137305
